Symbol,Company Name,Market,Industry Group,Sector,
24CS,Twenty-Four Con & Supply Public Company Limited,mai,PROPCON,-,
2S,2S METAL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
3K-BAT,THAI ENERGY STORAGE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
7UP,SEVEN UTILITIES AND POWER PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
A,AREEYA PROPERTY PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
A5,ASSET FIVE GROUP PUBLIC COMPANY LIMITED,mai,PROPCON,-,
AAI,Asian Alliance International Public Company Limited,SET,AGRO,FOOD,
AAV,ASIA AVIATION PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,mai,RESOURC,-,
ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
ACC,ADVANCED CONNECTION CORPORATION PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
ACG,AUTOCORP HOLDING PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
ADB,APPLIED DB PUBLIC COMPANY LIMITED,mai,INDUS,-,
ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,mai,SERVICE,-,
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,SET,TECH,ICT,
AEONTS,AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
AF,AIRA FACTORING PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
AFC,ASIA FIBER PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
AGE,ASIA GREEN ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
AH,AAPICO HITECH PUBLIC COMPANY LIMITED,SET,INDUS,AUTO,
AHC,AIKCHOL HOSPITAL PUBLIC COMPANY LIMITED,SET,SERVICE,HELTH,
AI,ASIAN INSULATORS PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
AIE,AI ENERGY PUBLIC COMPANY LIMITED,SET,RESOURC,ENERG,
AIMCG,AIM COMMERCIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
AIMIRT,AIM INDUSTRIAL GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
AIT,"ADVANCED INFORMATION TECHNOLOGY PUBLIC CO.,LTD.",SET,TECH,ICT,
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,SET,INDUS,PKG,
AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,CONSUMP,HOME,
